word,reading,pos,sub_pos,len,category,sub_cate
ＲＶ車,アールブイシャ,名詞,,7,もの・こと,乗り物（陸上）
挨拶,アイサツ,名詞,サ変接続,4,動き,合図・挨拶
合図,アイズ,名詞,サ変接続,3,動き,合図・挨拶
愛想,アイソ,名詞,,3,もの・こと,表情・態度
間柄,アイダガラ,名詞,,5,もの・こと,関係
相槌,アイヅチ,名詞,,4,もの・こと,問答
相手,アイテ,名詞,,3,もの・こと,相手・仲間
相手方,アイテカタ,名詞,,5,もの・こと,自他
アイドル,アイドル,名詞,,4,もの・こと,人物
曖昧,アイマイ,名詞,形容,4,状態,詳細・正確・不思議
青痣,アオアザ,名詞,,4,もの・こと,口語・IT
青い,アオイ,形容詞,,3,状態,才能
青紫蘇,アオジソ,名詞,,4,もの・こと,草本
青葉,アオバ,名詞,,3,もの・こと,枝・葉・花・実
仰向け,アオムケ,名詞,,4,もの・こと,方向・方角
赤い,アカイ,形容詞,,3,状態,色
証,アカシ,名詞,,3,もの・こと,論理・証明・偽り・誤り・訂正など
暁,アカツキ,名詞,,4,もの・こと,朝晩
赤土,アカツチ,名詞,,4,もの・こと,鉱物
明かり,アカリ,名詞,,3,もの・こと,灯火
上がり口,アガリグチ,名詞,,5,もの・こと,穴・口
明るい,アカルイ,形容詞,,4,状態,快・喜び
秋,アキ,名詞,時 連用,2,もの・こと,季節
悪意,アクイ,名詞,,3,もの・こと,好悪・愛憎
悪臭,アクシュウ,名詞,,5,もの・こと,におい
欠伸,アクビ,名詞,,3,もの・こと,日
明け方,アケガタ,名詞,時 連用,4,もの・こと,朝晩
挙句,アゲク,名詞,,3,もの・こと,終始
開け閉め,アケシメ,名詞,サ変接続,4,動き,開閉・封
顎,アゴ,名詞,,2,もの・こと,頭・目鼻・顔
憧れ,アコガレ,名詞,,4,もの・こと,好悪・愛憎
朝,アサ,名詞,時 連用,2,もの・こと,時代
あざ,アザ,名詞,,2,もの・こと,障害・けが
浅い,アサイ,形容詞,,3,状態,長短・高低・深浅・厚薄・遠近
朝方,アサガタ,名詞,時 連用,4,もの・こと,朝晩
痣だらけ,アザダラケ,名詞,,5,もの・こと,口語・IT
浅はか,アサハカ,名詞,,4,もの・こと,才能
朝晩,アサバン,名詞,時 連用,4,もの・こと,毎日・毎度
足,アシ,名詞,,2,もの・こと,助数接辞
アジア,アジア,名詞,固有 地,3,もの・こと,固有地名
足音,アシオト,名詞,,4,もの・こと,音
足掛り,アシガカリ,名詞,,5,もの・こと,点
足首,アシクビ,名詞,,4,もの・こと,手足・指
アシスタント,アシスタント,名詞,,6,もの・こと,その他の仕手
明日,アシタ,名詞,時 連用,3,もの・こと,未来
味付け,アジツケ,名詞,サ変接続,4,動き,炊事・調理
遊び,アソビ,名詞,,3,もの・こと,過不足
あだ,アダ,名詞,,2,もの・こと,因果
値,アタイ,名詞,,3,もの・こと,値・額
あたたかい,アタタカイ,形容詞,,5,状態,熱
温かさ,アタタカサ,名詞,,5,もの・こと,熱
頭,アタマ,名詞,,3,もの・こと,助数接辞
頭越し,アタマゴシ,名詞,形容,5,状態,ふち・そば・まわり・沿い
新しい,アタラシイ,形容詞,,5,状態,新旧・遅速
新しもの好き,アタラシモノズキ,名詞,,8,もの・こと,口語・IT
あたり,アタリ,名詞,,3,もの・こと,当たり・打ちなど
当たり前,アタリマエ,名詞,形容,5,状態,因果
あちらこちら,アチラコチラ,名詞,連用,6,もの・こと,空間・場所
圧,アツ,名詞,,2,もの・こと,弾力・動力・圧力など
暑い,アツイ,形容詞,,3,状態,寒暖
悪化,アッカ,名詞,サ変接続,3,動き,作用・変化
暑苦しい,アツクルシイ,形容詞,,6,状態,寒暖
熱さ,アツサ,名詞,,3,もの・こと,熱
あっという間,アットイウマ,名詞,,6,もの・こと,即時
圧倒,アットウ,名詞,サ変接続,4,動き,限定・優劣
アップ,アップ,名詞,サ変接続,3,動き,上がり・下がり
軋轢,アツレキ,名詞,,4,もの・こと,争い
艶やか,アデヤカ,名詞,,4,もの・こと,美醜
跡,アト,名詞,,2,もの・こと,範囲・席・跡
後々,アトアト,名詞,時 連用,4,もの・こと,未来
後押し,アトオシ,名詞,サ変接続,4,動き,突き・押し・引き・すれなど
あどけない,アドケナイ,形容詞,,5,状態,人柄
後始末,アトシマツ,名詞,サ変接続,5,動き,調節
後の祭,アトノマツリ,名詞,,6,もの・こと,新旧・遅速
アドバイス,アドバイス,名詞,サ変接続,5,動き,教育・養成
アドレス,アドレス,名詞,,4,もの・こと,空間・場所
アドレス帳,アドレスチョウ,名詞,,7,もの・こと,目録・暦
穴,アナ,名詞,,2,もの・こと,成形・変形
アナウンサー,アナウンサー,名詞,呼称,6,もの・こと,専門的・技術的職業
アナログ,アナログ,名詞,,4,もの・こと,量
兄,アニ,名詞,,2,もの・こと,われ・なれ・かれ
あの時,アノトキ,名詞,時 連用 指示,4,もの・こと,口語・IT
あの世,アノヨ,名詞,,3,もの・こと,社会・世界
アパート,アパート,名詞,,4,もの・こと,住居
危ない,アブナイ,形容詞,,4,状態,難易・安危
アプリ,アプリ,名詞,,3,もの・こと,口語・IT
アポイントメント,アポイントメント,名詞,,8,もの・こと,約束
海女,アマ,名詞,,2,もの・こと,農林水産業
甘い,アマイ,形容詞,,3,状態,弛緩・粗密・繁簡
雨音,アマオト,名詞,,4,もの・こと,口語・IT
雨戸,アマド,名詞,,3,もの・こと,戸・カーテン・敷物・畳など
雨宿り,アマヤドリ,名詞,,5,もの・こと,住生活
網,アミ,名詞,,2,もの・こと,線
編み物,アミモノ,名詞,,4,もの・こと,裁縫
雨,アメ,名詞,,2,もの・こと,雨・雪
アメリカ,アメリカ,名詞,固有 地,4,もの・こと,固有地名
あやしい,アヤシイ,形容詞,,4,状態,詳細・正確・不思議
荒い,アライ,形容詞,,3,状態,力
嵐,アラシ,名詞,,3,もの・こと,いたずら・騒ぎ
争い,アラソイ,名詞,,4,もの・こと,争い
新た,アラタ,名詞,形容,3,状態,新旧・遅速
